Module ,TEMPLATE_ID,Template Name,Template,Sample Text,CATEGORY,JIO_STATUS,Chargable/ non chargeble
AMS,1207173399051963818,12Dec24_StudentAttendance_Days,"Dear Student, on Digiicampus, {#var#} has missed classes above the threshold. -- {#var#} Team","Dear Student, on Digiicampus, Arya F from CD0987 has missed classes above the threshold.  -- JIET Team",Education,Active,Chargable
AMS,1207173399191640609,12Dec24_ParentAttendance_Days,"Dear Parent, on Digiicampus, {#var#} has missed classes above the threshold. -- {#var#} Team","Dear Parent, on Digiicampus, Arya F from CD0987 has missed classes above the threshold. -- JIET Team",Education,Active,Chargable
AMS,1207173399296763196,12Dec24_PrntAttndnc_Threshold,"Dear Parent, on Digiicampus, your ward's attendance in {#var#} is below the required threshold. -- {#var#} Team","Dear Parent, on Digiicampus, your ward's attendance in CH0912 Workshop is below the required threshold. -- JIET Team",Education,Active,Chargable
AMS,1207173399502968953,12Dec24_StudentAbNotification_,"Dear Student, on Digiicampus, you have been marked absent for {#var#} at {#var#} Team","Dear Student, on Digiicampus, you have been marked absent for CO987 W 12/3/23 at 09:30. -- JIET Team",Education,Active,Chargable
AMS,1207173399578417111,12Dec24_StdntAttndnc_Threshold,"Dear Student, on Digiicampus, your attendance in {#var#} is below the required threshold. -- {#var#} Team","Dear Student, on Digiicampus, your attendance in CH0912 Workshop is below the required threshold. -- JIET Team",Education,Active,Chargable
AMS,1207173399832075368,12Dec24_ParentAbNotification_,"Dear Parent, on Digiicampus, your ward has been marked absent for {#var#} at {#var#} Team","Dear Parent, on Digiicampus, your ward has been marked absent for CO987 W 12/3/23 at 09:30. -- JIET Team",Education,Active,Chargable
AMS,1207173468114229271,20Dec24_Std_Threshold_Per,"Dear Student, on Digiicampus your attendance in {#var#} is below {#var#}Team.","Dear Student, on Digiicampus your attendance in HCF001 WORKSHOP is below 30% threshold JIET Team.",Education,Active,Chargable
AMS,1207173401562802130,12Dec24_Real_Time _Att,"Dear Student, on Digiicampus, you were marked absent for {#var#} at {#var#} Team.","Dear Student, on Digiicampus, you were marked absent for HCF001 WORKSHOP at 09:30 JIET Team.",Education,Active,Chargable
AMS,1207173401602222375,12Dec24_Consecutive,"Dear Parent, on Digiicampus your ward has missed {#var#} sessions consecutively. -- {#var#} Team","Dear Parent, on Digiicampus your ward has missed 3 HCF001 WORKSHOP sessions consecutively. --JIET Team",Education,Active,Chargable
AMS,1207173401678066634,12Dec24_Real_Time,"Dear Parent, on Digiicampus your ward has been marked absent for {#var#} at {#var#} Team.","Dear Parent, on Digiicampus, your ward has been marked absent for HCF001 WORKSHOP at 09:30 JIET Team.",Education,Active,Chargable
AMS,1207173401768168177,12Dec24_Std_Consecutive,"Dear Student, on Digiicampus, you have missed {#var#} sessions consecutively. -- {#var#} Team","Dear Student, on Digiicampus, you have missed 3 HCF001 WORKSHOP sessions consecutively. -- JIET Team",Education,Active,Chargable
AMS,1207173401914749361,12Dec24_Threshold_per,"Dear Parent, on Digiicampus, your ward's attendance in {#var#} is below {#var#}Team.","Dear Parent, on Digiicampus, your ward's attendance in HCF001 WORKSHOP is below 30% threshold JIET Team.",Education,Active,Chargable
Finance ,1207173399559222628,12Dec24_FeeReminder_PostDue,"On Digiicampus, the fee due date passed on {#var#}. Pay soon to avoid penalties. -- {#var#} Team","On Digiicampus, the fee due date passed on 09/10/23 at 09:30 PM. Pay soon to avoid penalties. -- JIET Team",Education,Active,Chargable
Finance ,1207173399633667991,12Dec24_FeeReminder_PreDue,"On Digiicampus, pay your academic fee by {#var#} to avoid penalties. -- {#var#} Team","On Digiicampus, pay your academic fee by 09/09/23 at 9:30 PM to avoid penalties. -- JIET Team",Education,Active,Chargable
Gatepass ,1207173399626668900,12Dec24_GatePass_Approval,"Dear Parent, on Digiicampus, your child seeks a gate pass for {#var#}. To accept, call {#var#}.","Dear Parent, on Digiicampus, your child seeks a gate pass for 12/09/23 6:30 to 23:40. To accept call 9876543219.",Education,Active,Chargable
Login,1207173399257746095,12Dec24_Login_OTP,"On Digiicampus, your OTP to log in is {#var#}. Do not share this OTP with anyone. -- {#var#} Team","On Digiicampus, your OTP to log in is 123456. Do not share this OTP with anyone. -- JIET Team",Education,Active,Non Chargeble
Login,1207173399372213264,12Dec24_NewUser_Credentials,"On Digiicampus, your login credentials are: {#var#} (Username, Password). -- {#var#} Team","On Digiicampus, your login credentials are: person123@gmail.com, passwordxyz (Username, Password). -- JIET Team",Education,Active,Non Chargeble
Finance ,1207174288463807916,25Mar25_Fee_PreDue,"On Digiicampus, pay pending Academic Fee amount {#var#} to avoid penalties. Ignore if paid - {#var#} Team","On Digiicampus, pay pending Academic Fee amount INR 25000 by 20/12/25 to avoid penalties. Ignore if paid - JIET Team",Education,Active,Chargable
Finance ,1207174279370175689,24Mar25_Fee_PostDue,"On Digiicampus, Academic Fee amount {#var#}. Please pay to avoid penalties. Ignore if paid - {#var#} Team","On Digiicampus, Academic Fee amount INR 25000 was due 20/12/25. Please pay to avoid penalties. Ignore if paid - JIET Team",Education,Active,Chargable
Finance ,1207174279837600971,24Mar25_Inst_PreDue,"On Digiicampus, pay pending Instalment amount {#var#} to avoid penalties. Ignore if paid - {#var#} Team","On Digiicampus, pay pending Instalment amount INR 25000 by 20/12/25 to avoid penalties. Ignore if paid - JIET Team",Education,Active,Chargable
Finance ,1207174288930510443,25Mar25_Inst_PostDue,"On Digiicampus, Instalment amount {#var#}. Please pay to avoid penalties. Ignore if paid - {#var#} Team","On Digiicampus, Instalment amount INR 25000 was due 20/12/25. Please pay to avoid penalties. Ignore if paid - JIET Team",Education,Active,Chargable
Gatepass ,1207172767157843452,Gatepass Updated 30/9,"Dear Parent, Your ward seeks to extend their long pass till {#var#}. To accept the request give a missed call on {#var#} to reject. -Digiicampus","Dear Parent, Your ward seeks to extend their long pass till 20:30 12/09. To accept the request give a missed call on 19786755656 or 9819810909 to reject. -Digiicampus",Education,Active,Chargable
Gatepass ,1207172924001461881,18Oct2024_GatePass_Approval,"Dear Parent, Your child seeks a gate pass for {#var#}. To accept the request give a missed call on {#var#} to reject. - Digiicampus","Dear Parent, Your child seeks a gate pass for 12/09/23 6:30 to 23:40. To accept the request give a missed call on 9876543219 or 9876543212 to reject. - Digiicampus",Education,Active,Chargable
